,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AD Artificial,,2690,--,--,5397,--,5711,6458,--,--,3232,--,--,3791,--,--,2455,--,5701,20373,--,32167 13531 32207,,--,
"Intel, Data Sc",,,,,,,,,,,,,,,,,,,,,,,,,
AI Artificial,,5667,--,--,5360,--,6487,3512,--,--,3353,--,--,3031,--,--,2561,6053,5124,19019,--,19186 15559,--,--,
Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
AR Architecture,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
BT Bio Technology,,21282,--,40605 20619,--,--,17790,--,--,20095,--,--,20901,--,--,9706,40917 16215 41597,,,--,67385 54406 151891,,,--,
"CA CS (AI, Machine",,4258,--,--,5050,--,5534,2589,--,--,2504,--,--,2844,--,4776,2241,3433,4741,18555 29723 30512 16813,,,--,26477,
Learning),,,,,,,,,,,,,,,,,,,,,,,,,
CE Civil,,33943,--,--,41581,--,56813 38160,--,--,35126,--,--,37411,--,--,31212 46572 39990 47261,,,,--,87623 64928,,--,--,
CH Chemical,,38463,--,--,26188,--,50572 42170,--,--,24480,--,--,21796 26774,,--,18616,--,25688 52050,,--,81913 37549,,--,--,
CS Computers,,2330,--,--,2879,5210,3133,2300,--,5976,1941,--,--,2363,--,--,1254,2687,2172,10779 19248 15164 13644,,,--,13873,
CY CS- Cyber,,--,--,--,5249,--,8359,4296,--,--,3576,--,--,3825,--,--,2382,7166,5211,21170,--,33179 27930,--,--,
Security,,,,,,,,,,,,,,,,,,,,,,,,,
EC Electronics,,9439,--,--,6358,10112,7170,8933,--,--,4201,--,6289,3759,--,6874,3177,4391,6068,25896 28765 32681 24333,,,--,34278,
EE Electrical,,--,--,19580 12264,--,--,9976,--,72517,9258,23315,--,9105,--,--,5389,--,9211,44041,--,--,33215,--,--,
