Telecommn. Engg.,,,,,,,,,,,,,,,,,,,,,,,,,
IE Info.Science,,845,--,--,1034,--,1701,2043,--,--,671,--,--,670,--,--,268,769,879,4647,--,5022,3277,--,--
,,,,,,,ENGINEERING CUTOFF RANK OF CET-2022 - FIRST ROUND ALLOTMENT ( GENERAL ),,,,,,,,,,,,,,,,,,
5,E005,R. V. College of Engineering,,Bangalore,,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
IM Ind. Engg.,,26341,--,--,30945,--,50061 25929,--,--,25488,--,--,23080,--,--,22207 67762 46621 79172,,,,--,--,--,--,--,
Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,,
ME Mechanical,,13942,--,--,19819 46189 41940 19360,,,--,--,11390,--,--,15119,--,31110,7320,27303 30068 50399,,,--,64826 57267,,--,--,
SE Aero Space,,3258,--,--,3048,--,17397,5856,--,--,2440,--,--,5134,15520,--,2153,--,9431,15879,--,41566,--,--,--
Engg.,,,,,,,,,,,,,,,,,,,,,,,,,
6,E006,M S Ramaiah Institute of Technology,,,,Bangalore,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AD Artificial,,3658,--,8384,3899,--,--,--,--,--,3358,--,--,2725,--,--,2233,10151,4120,15859 49552,--,9706,--,--,
"Intel, Data Sc",,,,,,,,,,,,,,,,,,,,,,,,,
AI Artificial,,3432,--,--,5047,--,9976,3952,--,--,2303,--,--,2652,--,--,2124,7556,4081,15084,--,20775,7592,--,--
Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
BT Bio Technology,,19322,--,110242 20541,--,--,30954,--,--,13204,--,--,16015,--,--,9284,--,17735 33641,,--,--,--,--,--,
"CA CS (AI, Machine",,3086,--,--,3054,16997,6030,5492,--,15261,1632,--,--,2430,--,--,1223,--,2243,10005,--,--,8554,--,--
Learning),,,,,,,,,,,,,,,,,,,,,,,,,
CE Civil,,43516,--,69974 62524,--,89193 50728,,--,78695 42425,,--,--,47520,--,--,39775 46447 58996 72734 88610 80924 49944,,,,,,,--,--,
CH Chemical,,--,--,--,48684,--,--,36986,--,--,--,--,--,33657,--,--,23930 33161 35284 44589 146533,,,,--,86186,--,87079,
CS Computers,,1824,--,--,1764,3733,1974,1135,--,--,1328,3596,1685,1318,--,1515,827,1373,1501,3941,--,4728,1021,--,--
CY CS- Cyber,,3241,--,--,3635,--,--,5763,--,--,2196,--,--,1927,--,--,1840,--,4257,15910,--,19652,7879,30567 12483,
Security,,,,,,,,,,,,,,,,,,,,,,,,,
EC Electronics,,5376,12109,--,5323,6894,8190,8921,--,--,3816,--,7118,3895,--,6378,3020,6769,5588,16210,--,30637,9320,--,--
